Wed Aug 28 14:32:00 2013||dusttrack||[1377725520.0, 0.307]||'1377725520,0.307'
Wed Aug 28 14:33:00 2013||dusttrack||[1377725580.0, 0.307]||'1377725580,0.307'
Wed Aug 28 14:34:00 2013||dusttrack||[1377725640.0, 0.29299999999999998]||'1377725640,0.293'
Wed Aug 28 14:35:00 2013||dusttrack||[1377725700.0, 0.29299999999999998]||'1377725700,0.293'
Wed Aug 28 14:36:00 2013||dusttrack||[1377725760.0, 0.28899999999999998]||'1377725760,0.289'
Wed Aug 28 14:37:00 2013||dusttrack||[1377725820.0, 0.28899999999999998]||'1377725820,0.289'
Wed Aug 28 14:38:00 2013||dusttrack||[1377725880.0, 0.30599999999999999]||'1377725880,0.306'
Wed Aug 28 14:39:00 2013||dusttrack||[1377725940.0, 0.30599999999999999]||'1377725940,0.306'
Wed Aug 28 14:40:00 2013||dusttrack||[1377726000.0, 0.314]||'1377726000,0.314'
Wed Aug 28 14:41:00 2013||dusttrack||[1377726060.0, 0.314]||'1377726060,0.314'
