Wed Aug 28 12:06:00 2013||dusttrack||[1377716760.0, 0.16600000000000001]||'1377716760,0.166'
Wed Aug 28 12:07:00 2013||dusttrack||[1377716820.0, 0.16600000000000001]||'1377716820,0.166'
Wed Aug 28 12:08:00 2013||dusttrack||[1377716880.0, 0.17100000000000001]||'1377716880,0.171'
Wed Aug 28 12:09:00 2013||dusttrack||[1377716940.0, 0.17100000000000001]||'1377716940,0.171'
Wed Aug 28 12:10:00 2013||dusttrack||[1377717000.0, 0.16600000000000001]||'1377717000,0.166'
Wed Aug 28 12:11:00 2013||dusttrack||[1377717060.0, 0.16600000000000001]||'1377717060,0.166'
Wed Aug 28 12:12:00 2013||dusttrack||[1377717120.0, 0.16700000000000001]||'1377717120,0.167'
Wed Aug 28 12:13:00 2013||dusttrack||[1377717180.0, 0.16700000000000001]||'1377717180,0.167'
Wed Aug 28 12:14:00 2013||dusttrack||[1377717240.0, 0.16500000000000001]||'1377717240,0.165'
Wed Aug 28 12:15:00 2013||dusttrack||[1377717300.0, 0.16500000000000001]||'1377717300,0.165'
Wed Aug 28 12:16:00 2013||dusttrack||[1377717360.0, 0.16500000000000001]||'1377717360,0.165'
Wed Aug 28 12:17:00 2013||dusttrack||[1377717420.0, 0.16500000000000001]||'1377717420,0.165'
Wed Aug 28 12:18:00 2013||dusttrack||[1377717480.0, 0.16800000000000001]||'1377717480,0.168'
Wed Aug 28 12:19:00 2013||dusttrack||[1377717540.0, 0.16800000000000001]||'1377717540,0.168'
Wed Aug 28 12:20:00 2013||dusttrack||[1377717600.0, 0.16400000000000001]||'1377717600,0.164'
Wed Aug 28 12:21:00 2013||dusttrack||[1377717660.0, 0.16400000000000001]||'1377717660,0.164'
Wed Aug 28 12:22:00 2013||dusttrack||[1377717720.0, 0.186]||'1377717720,0.186'
Wed Aug 28 12:23:00 2013||dusttrack||[1377717780.0, 0.186]||'1377717780,0.186'
Wed Aug 28 12:24:00 2013||dusttrack||[1377717840.0, 0.188]||'1377717840,0.188'
Wed Aug 28 12:25:00 2013||dusttrack||[1377717900.0, 0.188]||'1377717900,0.188'
Wed Aug 28 12:26:00 2013||dusttrack||[1377717960.0, 0.17899999999999999]||'1377717960,0.179'
Wed Aug 28 12:27:00 2013||dusttrack||[1377718020.0, 0.17899999999999999]||'1377718020,0.179'
Wed Aug 28 12:28:00 2013||dusttrack||[1377718080.0, 0.17899999999999999]||'1377718080,0.179'
Wed Aug 28 12:29:00 2013||dusttrack||[1377718140.0, 0.17899999999999999]||'1377718140,0.179'
Wed Aug 28 12:30:00 2013||dusttrack||[1377718200.0, 0.20200000000000001]||'1377718200,0.202'
Wed Aug 28 12:31:00 2013||dusttrack||[1377718260.0, 0.20200000000000001]||'1377718260,0.202'
Wed Aug 28 12:32:00 2013||dusttrack||[1377718320.0, 0.184]||'1377718320,0.184'
Wed Aug 28 12:33:00 2013||dusttrack||[1377718380.0, 0.184]||'1377718380,0.184'
Wed Aug 28 12:34:00 2013||dusttrack||[1377718440.0, 0.189]||'1377718440,0.189'
Wed Aug 28 12:35:00 2013||dusttrack||[1377718500.0, 0.189]||'1377718500,0.189'
Wed Aug 28 12:36:00 2013||dusttrack||[1377718560.0, 0.187]||'1377718560,0.187'
Wed Aug 28 12:37:00 2013||dusttrack||[1377718620.0, 0.187]||'1377718620,0.187'
Wed Aug 28 12:38:00 2013||dusttrack||[1377718680.0, 0.189]||'1377718680,0.189'
Wed Aug 28 12:39:00 2013||dusttrack||[1377718740.0, 0.189]||'1377718740,0.189'
Wed Aug 28 12:40:00 2013||dusttrack||[1377718800.0, 0.193]||'1377718800,0.193'
Wed Aug 28 12:41:00 2013||dusttrack||[1377718860.0, 0.193]||'1377718860,0.193'
Wed Aug 28 12:42:00 2013||dusttrack||[1377718920.0, 0.186]||'1377718920,0.186'
Wed Aug 28 12:43:00 2013||dusttrack||[1377718980.0, 0.186]||'1377718980,0.186'
Wed Aug 28 12:44:00 2013||dusttrack||[1377719040.0, 0.216]||'1377719040,0.216'
Wed Aug 28 12:45:00 2013||dusttrack||[1377719100.0, 0.216]||'1377719100,0.216'
Wed Aug 28 12:46:00 2013||dusttrack||[1377719160.0, 0.20699999999999999]||'1377719160,0.207'
Wed Aug 28 12:47:00 2013||dusttrack||[1377719220.0, 0.20699999999999999]||'1377719220,0.207'
Wed Aug 28 12:48:00 2013||dusttrack||[1377719280.0, 0.20399999999999999]||'1377719280,0.204'
Wed Aug 28 12:49:00 2013||dusttrack||[1377719340.0, 0.20399999999999999]||'1377719340,0.204'
Wed Aug 28 12:50:00 2013||dusttrack||[1377719400.0, 0.20999999999999999]||'1377719400,0.210'
Wed Aug 28 12:51:00 2013||dusttrack||[1377719460.0, 0.20999999999999999]||'1377719460,0.210'
Wed Aug 28 12:52:00 2013||dusttrack||[1377719520.0, 0.20200000000000001]||'1377719520,0.202'
Wed Aug 28 12:53:00 2013||dusttrack||[1377719580.0, 0.20200000000000001]||'1377719580,0.202'
Wed Aug 28 12:54:00 2013||dusttrack||[1377719640.0, 0.20799999999999999]||'1377719640,0.208'
Wed Aug 28 12:55:00 2013||dusttrack||[1377719700.0, 0.20799999999999999]||'1377719700,0.208'
Wed Aug 28 12:56:00 2013||dusttrack||[1377719760.0, 0.19800000000000001]||'1377719760,0.198'
Wed Aug 28 12:57:00 2013||dusttrack||[1377719820.0, 0.19800000000000001]||'1377719820,0.198'
Wed Aug 28 12:58:00 2013||dusttrack||[1377719880.0, 0.20599999999999999]||'1377719880,0.206'
Wed Aug 28 12:59:00 2013||dusttrack||[1377719940.0, 0.20599999999999999]||'1377719940,0.206'
Wed Aug 28 13:00:00 2013||dusttrack||[1377720000.0, 0.20399999999999999]||'1377720000,0.204'
Wed Aug 28 13:01:00 2013||dusttrack||[1377720060.0, 0.20399999999999999]||'1377720060,0.204'
Wed Aug 28 13:02:00 2013||dusttrack||[1377720120.0, 0.20899999999999999]||'1377720120,0.209'
Wed Aug 28 13:03:00 2013||dusttrack||[1377720180.0, 0.20899999999999999]||'1377720180,0.209'
Wed Aug 28 13:04:00 2013||dusttrack||[1377720240.0, 0.20899999999999999]||'1377720240,0.209'
Wed Aug 28 13:05:00 2013||dusttrack||[1377720300.0, 0.20899999999999999]||'1377720300,0.209'
Wed Aug 28 13:06:00 2013||dusttrack||[1377720360.0, 0.221]||'1377720360,0.221'
Wed Aug 28 13:07:00 2013||dusttrack||[1377720420.0, 0.221]||'1377720420,0.221'
Wed Aug 28 13:08:00 2013||dusttrack||[1377720480.0, 0.22500000000000001]||'1377720480,0.225'
Wed Aug 28 13:09:00 2013||dusttrack||[1377720540.0, 0.22500000000000001]||'1377720540,0.225'
Wed Aug 28 13:10:00 2013||dusttrack||[1377720600.0, 0.23400000000000001]||'1377720600,0.234'
Wed Aug 28 13:11:00 2013||dusttrack||[1377720660.0, 0.23400000000000001]||'1377720660,0.234'
Wed Aug 28 13:12:00 2013||dusttrack||[1377720720.0, 0.23599999999999999]||'1377720720,0.236'
Wed Aug 28 13:13:00 2013||dusttrack||[1377720780.0, 0.23599999999999999]||'1377720780,0.236'
Wed Aug 28 13:14:00 2013||dusttrack||[1377720840.0, 0.247]||'1377720840,0.247'
Wed Aug 28 13:15:00 2013||dusttrack||[1377720900.0, 0.247]||'1377720900,0.247'
Wed Aug 28 13:16:00 2013||dusttrack||[1377720960.0, 0.24399999999999999]||'1377720960,0.244'
Wed Aug 28 13:17:00 2013||dusttrack||[1377721020.0, 0.24399999999999999]||'1377721020,0.244'
Wed Aug 28 13:18:00 2013||dusttrack||[1377721080.0, 0.248]||'1377721080,0.248'
Wed Aug 28 13:19:00 2013||dusttrack||[1377721140.0, 0.248]||'1377721140,0.248'
Wed Aug 28 13:20:00 2013||dusttrack||[1377721200.0, 0.25800000000000001]||'1377721200,0.258'
Wed Aug 28 13:21:00 2013||dusttrack||[1377721260.0, 0.25800000000000001]||'1377721260,0.258'
Wed Aug 28 13:22:00 2013||dusttrack||[1377721320.0, 0.248]||'1377721320,0.248'
Wed Aug 28 13:23:00 2013||dusttrack||[1377721380.0, 0.248]||'1377721380,0.248'
Wed Aug 28 13:24:00 2013||dusttrack||[1377721440.0, 0.253]||'1377721440,0.253'
Wed Aug 28 13:25:00 2013||dusttrack||[1377721500.0, 0.253]||'1377721500,0.253'
Wed Aug 28 13:26:00 2013||dusttrack||[1377721560.0, 0.26600000000000001]||'1377721560,0.266'
Wed Aug 28 13:27:00 2013||dusttrack||[1377721620.0, 0.26600000000000001]||'1377721620,0.266'
Wed Aug 28 13:28:00 2013||dusttrack||[1377721680.0, 0.26300000000000001]||'1377721680,0.263'
Wed Aug 28 13:29:00 2013||dusttrack||[1377721740.0, 0.26300000000000001]||'1377721740,0.263'
Wed Aug 28 13:30:00 2013||dusttrack||[1377721800.0, 0.25900000000000001]||'1377721800,0.259'
Wed Aug 28 13:31:00 2013||dusttrack||[1377721860.0, 0.25900000000000001]||'1377721860,0.259'
Wed Aug 28 13:32:00 2013||dusttrack||[1377721920.0, 0.26700000000000002]||'1377721920,0.267'
Wed Aug 28 13:33:00 2013||dusttrack||[1377721980.0, 0.26700000000000002]||'1377721980,0.267'
