Sun Aug 25 19:51:00 2013||dusttrack||[1377485460.0, 0.129]||'1377485460,0.129'
Sun Aug 25 19:52:00 2013||dusttrack||[1377485520.0, 0.099000000000000005]||'1377485520,0.099'
Sun Aug 25 19:53:00 2013||dusttrack||[1377485580.0, 0.099000000000000005]||'1377485580,0.099'
Sun Aug 25 19:54:00 2013||dusttrack||[1377485640.0, 0.11]||'1377485640,0.110'
Sun Aug 25 19:55:00 2013||dusttrack||[1377485700.0, 0.11]||'1377485700,0.110'
Sun Aug 25 19:56:00 2013||dusttrack||[1377485760.0, 0.115]||'1377485760,0.115'
Sun Aug 25 19:57:00 2013||dusttrack||[1377485820.0, 0.115]||'1377485820,0.115'
Sun Aug 25 19:58:00 2013||dusttrack||[1377485880.0, 0.13100000000000001]||'1377485880,0.131'
Sun Aug 25 19:59:00 2013||dusttrack||[1377485940.0, 0.13100000000000001]||'1377485940,0.131'
Sun Aug 25 20:00:00 2013||dusttrack||[1377486000.0, 0.14599999999999999]||'1377486000,0.146'
Sun Aug 25 20:01:00 2013||dusttrack||[1377486060.0, 0.14599999999999999]||'1377486060,0.146'
Sun Aug 25 20:02:00 2013||dusttrack||[1377486120.0, 0.13]||'1377486120,0.130'
Sun Aug 25 20:03:00 2013||dusttrack||[1377486180.0, 0.13]||'1377486180,0.130'
Sun Aug 25 20:04:00 2013||dusttrack||[1377486240.0, 0.11600000000000001]||'1377486240,0.116'
Sun Aug 25 20:05:00 2013||dusttrack||[1377486300.0, 0.11600000000000001]||'1377486300,0.116'
Sun Aug 25 20:06:00 2013||dusttrack||[1377486360.0, 0.124]||'1377486360,0.124'
Sun Aug 25 20:07:00 2013||dusttrack||[1377486420.0, 0.124]||'1377486420,0.124'
Sun Aug 25 20:08:00 2013||dusttrack||[1377486480.0, 0.11799999999999999]||'1377486480,0.118'
Sun Aug 25 20:09:00 2013||dusttrack||[1377486540.0, 0.11799999999999999]||'1377486540,0.118'
Sun Aug 25 20:10:00 2013||dusttrack||[1377486600.0, 0.11899999999999999]||'1377486600,0.119'
Sun Aug 25 20:11:00 2013||dusttrack||[1377486660.0, 0.11899999999999999]||'1377486660,0.119'
Sun Aug 25 20:12:00 2013||dusttrack||[1377486720.0, 0.126]||'1377486720,0.126'
Sun Aug 25 20:13:00 2013||dusttrack||[1377486780.0, 0.126]||'1377486780,0.126'
Sun Aug 25 20:14:00 2013||dusttrack||[1377486840.0, 0.124]||'1377486840,0.124'
Sun Aug 25 20:15:00 2013||dusttrack||[1377486900.0, 0.124]||'1377486900,0.124'
Sun Aug 25 20:16:00 2013||dusttrack||[1377486960.0, 0.123]||'1377486960,0.123'
Sun Aug 25 20:17:00 2013||dusttrack||[1377487020.0, 0.123]||'1377487020,0.123'
