Wed Aug 28 14:46:00 2013||dusttrack||[1377726360.0, 0.38100000000000001]||'1377726360,0.381'
Wed Aug 28 14:47:00 2013||dusttrack||[1377726420.0, 0.38100000000000001]||'1377726420,0.381'
Wed Aug 28 14:48:00 2013||dusttrack||[1377726480.0, 0.35399999999999998]||'1377726480,0.354'
Wed Aug 28 14:49:00 2013||dusttrack||[1377726540.0, 0.35399999999999998]||'1377726540,0.354'
Wed Aug 28 14:50:00 2013||dusttrack||[1377726600.0, 0.38200000000000001]||'1377726600,0.382'
Wed Aug 28 14:51:00 2013||dusttrack||[1377726660.0, 0.38200000000000001]||'1377726660,0.382'
Wed Aug 28 14:52:00 2013||dusttrack||[1377726720.0, 0.39400000000000002]||'1377726720,0.394'
Wed Aug 28 14:53:00 2013||dusttrack||[1377726780.0, 0.39400000000000002]||'1377726780,0.394'
Wed Aug 28 14:54:00 2013||dusttrack||[1377726840.0, 0.37]||'1377726840,0.370'
Wed Aug 28 14:55:00 2013||dusttrack||[1377726900.0, 0.37]||'1377726900,0.370'
Wed Aug 28 14:56:00 2013||dusttrack||[1377726960.0, 0.39200000000000002]||'1377726960,0.392'
Wed Aug 28 14:57:00 2013||dusttrack||[1377727020.0, 0.39200000000000002]||'1377727020,0.392'
Wed Aug 28 14:58:00 2013||dusttrack||[1377727080.0, 0.40200000000000002]||'1377727080,0.402'
Wed Aug 28 14:59:00 2013||dusttrack||[1377727140.0, 0.40200000000000002]||'1377727140,0.402'
Wed Aug 28 15:00:00 2013||dusttrack||[1377727200.0, 0.40100000000000002]||'1377727200,0.401'
Wed Aug 28 15:01:00 2013||dusttrack||[1377727260.0, 0.40100000000000002]||'1377727260,0.401'
Wed Aug 28 15:02:00 2013||dusttrack||[1377727320.0, 0.40400000000000003]||'1377727320,0.404'
Wed Aug 28 15:03:00 2013||dusttrack||[1377727380.0, 0.40400000000000003]||'1377727380,0.404'
Wed Aug 28 15:04:00 2013||dusttrack||[1377727440.0, 0.39600000000000002]||'1377727440,0.396'
Wed Aug 28 15:05:00 2013||dusttrack||[1377727500.0, 0.39600000000000002]||'1377727500,0.396'
Wed Aug 28 15:06:00 2013||dusttrack||[1377727560.0, 0.41399999999999998]||'1377727560,0.414'
Wed Aug 28 15:07:00 2013||dusttrack||[1377727620.0, 0.41399999999999998]||'1377727620,0.414'
Wed Aug 28 15:08:00 2013||dusttrack||[1377727680.0, 0.377]||'1377727680,0.377'
Wed Aug 28 15:09:00 2013||dusttrack||[1377727740.0, 0.377]||'1377727740,0.377'
Wed Aug 28 15:10:00 2013||dusttrack||[1377727800.0, 0.38300000000000001]||'1377727800,0.383'
Wed Aug 28 15:11:00 2013||dusttrack||[1377727860.0, 0.38300000000000001]||'1377727860,0.383'
Wed Aug 28 15:12:00 2013||dusttrack||[1377727920.0, 0.38500000000000001]||'1377727920,0.385'
Wed Aug 28 15:13:01 2013||dusttrack||[1377727980.0, 0.38500000000000001]||'1377727980,0.385'
Wed Aug 28 15:14:01 2013||dusttrack||[1377728040.0, 0.38300000000000001]||'1377728040,0.383'
Wed Aug 28 15:15:01 2013||dusttrack||[1377728100.0, 0.38300000000000001]||'1377728100,0.383'
Wed Aug 28 15:16:01 2013||dusttrack||[1377728160.0, 0.34999999999999998]||'1377728160,0.350'
Wed Aug 28 15:17:01 2013||dusttrack||[1377728220.0, 0.34999999999999998]||'1377728220,0.350'
Wed Aug 28 15:18:01 2013||dusttrack||[1377728280.0, 0.35699999999999998]||'1377728280,0.357'
Wed Aug 28 15:19:01 2013||dusttrack||[1377728340.0, 0.35699999999999998]||'1377728340,0.357'
Wed Aug 28 15:20:01 2013||dusttrack||[1377728400.0, 0.35599999999999998]||'1377728400,0.356'
Wed Aug 28 15:21:01 2013||dusttrack||[1377728460.0, 0.35599999999999998]||'1377728460,0.356'
Wed Aug 28 15:22:01 2013||dusttrack||[1377728520.0, 0.37]||'1377728520,0.370'
Wed Aug 28 15:23:01 2013||dusttrack||[1377728580.0, 0.37]||'1377728580,0.370'
Wed Aug 28 15:24:01 2013||dusttrack||[1377728640.0, 0.34999999999999998]||'1377728640,0.350'
Wed Aug 28 15:25:01 2013||dusttrack||[1377728700.0, 0.34999999999999998]||'1377728700,0.350'
Wed Aug 28 15:26:01 2013||dusttrack||[1377728760.0, 0.33300000000000002]||'1377728760,0.333'
Wed Aug 28 15:27:01 2013||dusttrack||[1377728820.0, 0.33300000000000002]||'1377728820,0.333'
Wed Aug 28 15:28:01 2013||dusttrack||[1377728880.0, 0.35899999999999999]||'1377728880,0.359'
Wed Aug 28 15:29:00 2013||dusttrack||[1377728940.0, 0.35899999999999999]||'1377728940,0.359'
Wed Aug 28 15:30:01 2013||dusttrack||[1377729000.0, 0.35099999999999998]||'1377729000,0.351'
Wed Aug 28 15:31:01 2013||dusttrack||[1377729060.0, 0.35099999999999998]||'1377729060,0.351'
Wed Aug 28 15:32:01 2013||dusttrack||[1377729120.0, 0.377]||'1377729120,0.377'
Wed Aug 28 15:33:00 2013||dusttrack||[1377729180.0, 0.377]||'1377729180,0.377'
Wed Aug 28 15:34:01 2013||dusttrack||[1377729240.0, 0.372]||'1377729240,0.372'
Wed Aug 28 15:35:01 2013||dusttrack||[1377729300.0, 0.372]||'1377729300,0.372'
Wed Aug 28 15:36:01 2013||dusttrack||[1377729360.0, 0.374]||'1377729360,0.374'
Wed Aug 28 15:37:01 2013||dusttrack||[1377729420.0, 0.374]||'1377729420,0.374'
Wed Aug 28 15:38:01 2013||dusttrack||[1377729480.0, 0.35799999999999998]||'1377729480,0.358'
Wed Aug 28 15:39:01 2013||dusttrack||[1377729540.0, 0.35799999999999998]||'1377729540,0.358'
Wed Aug 28 15:40:01 2013||dusttrack||[1377729600.0, 0.438]||'1377729600,0.438'
Wed Aug 28 15:41:01 2013||dusttrack||[1377729660.0, 0.438]||'1377729660,0.438'
Wed Aug 28 15:42:00 2013||dusttrack||[1377729720.0, 0.47499999999999998]||'1377729720,0.475'
Wed Aug 28 15:43:01 2013||dusttrack||[1377729780.0, 0.47499999999999998]||'1377729780,0.475'
Wed Aug 28 15:44:01 2013||dusttrack||[1377729840.0, 0.40000000000000002]||'1377729840,0.400'
Wed Aug 28 15:45:01 2013||dusttrack||[1377729900.0, 0.40000000000000002]||'1377729900,0.400'
Wed Aug 28 15:46:01 2013||dusttrack||[1377729960.0, 0.374]||'1377729960,0.374'
Wed Aug 28 15:47:01 2013||dusttrack||[1377730020.0, 0.374]||'1377730020,0.374'
