Sun Aug 25 19:52:00 2013||aeth||None
Sun Aug 25 19:53:00 2013||aeth||[1377485580.0, '"25-aug-13"', '"18:52"', 2834.0, 3.2999999999999998, 0.021499999999999998, 0.54079999999999995, 0.021499999999999998, 0.83840000000000003, 1.0, 6.7309999999999999]||'1377485580,"25-aug-13","18:52",  2834,  3.3, 0.0215,  .5408, 0.0215,  .8384, 1.00,06.731\r\n'
Sun Aug 25 19:54:00 2013||aeth||[1377485640.0, '"25-aug-13"', '"18:53"', 1878.0, 3.2999999999999998, 0.021499999999999998, 0.53979999999999995, 0.021499999999999998, 0.8387, 1.0, 6.9379999999999997]||'1377485640,"25-aug-13","18:53",  1878,  3.3, 0.0215,  .5398, 0.0215,  .8387, 1.00,06.938\r\n'
Sun Aug 25 19:55:00 2013||aeth||[1377485700.0, '"25-aug-13"', '"18:54"', 2305.0, 3.2999999999999998, 0.021499999999999998, 0.53859999999999997, 0.021499999999999998, 0.83879999999999999, 1.0, 7.1909999999999998]||'1377485700,"25-aug-13","18:54",  2305,  3.3, 0.0215,  .5386, 0.0215,  .8388, 1.00,07.191\r\n'
