Instr,Time,mg/m3
DustTrak,2013-07-11 22:22:25,0.003
DustTrak,2013-07-11 22:22:30,0.003
DustTrak,2013-07-11 22:22:35,0.003
DustTrak,2013-07-11 22:22:40,0.003
DustTrak,2013-07-11 22:22:45,0.003
DustTrak,2013-07-11 22:22:50,0.003
DustTrak,2013-07-11 22:22:55,0.003
DustTrak,2013-07-11 22:23:00,0.003
DustTrak,2013-07-11 22:23:05,0.003
DustTrak,2013-07-11 22:23:10,0.003
DustTrak,2013-07-11 22:23:15,0.003
DustTrak,2013-07-11 22:23:20,0.003
DustTrak,2013-07-11 22:23:25,0.003
DustTrak,2013-07-11 22:23:30,0.003
DustTrak,2013-07-11 22:23:35,0.003
DustTrak,2013-07-11 22:23:40,0.003
DustTrak,2013-07-11 22:23:45,0.003
DustTrak,2013-07-11 22:23:50,0.003
DustTrak,2013-07-11 22:23:55,0.003
DustTrak,2013-07-11 22:24:00,0.003
DustTrak,2013-07-11 22:24:05,0.003
DustTrak,2013-07-11 22:24:10,0.003
DustTrak,2013-07-11 22:24:15,0.003
DustTrak,2013-07-11 22:24:20,0.003
DustTrak,2013-07-11 22:24:25,0.003
DustTrak,2013-07-11 22:24:30,0.003
DustTrak,2013-07-11 22:24:35,0.003
DustTrak,2013-07-11 22:24:40,0.003
DustTrak,2013-07-11 22:24:45,0.003
DustTrak,2013-07-11 22:24:50,0.003
DustTrak,2013-07-11 22:24:55,0.003
DustTrak,2013-07-11 22:25:00,0.003
DustTrak,2013-07-11 22:25:05,0.003
DustTrak,2013-07-11 22:25:10,0.003
DustTrak,2013-07-11 22:25:15,0.004
DustTrak,2013-07-11 22:25:20,0.004
DustTrak,2013-07-11 22:25:25,0.004
DustTrak,2013-07-11 22:25:30,0.004
DustTrak,2013-07-11 22:25:35,0.004
DustTrak,2013-07-11 22:25:40,0.004
DustTrak,2013-07-11 22:25:45,0.004
DustTrak,2013-07-11 22:25:50,0.004
DustTrak,2013-07-11 22:25:55,0.004
DustTrak,2013-07-11 22:26:00,0.004
DustTrak,2013-07-11 22:26:05,0.004
DustTrak,2013-07-11 22:26:10,0.004
DustTrak,2013-07-11 22:26:15,0.004
DustTrak,2013-07-11 22:26:20,0.004
DustTrak,2013-07-11 22:26:25,0.004
DustTrak,2013-07-11 22:26:30,0.004
DustTrak,2013-07-11 22:26:35,0.004
DustTrak,2013-07-11 22:26:40,0.004
DustTrak,2013-07-11 22:26:45,0.004
DustTrak,2013-07-11 22:26:50,0.004
DustTrak,2013-07-11 22:26:55,0.004
DustTrak,2013-07-11 22:27:00,0.004
DustTrak,2013-07-11 22:27:05,0.004
DustTrak,2013-07-11 22:27:10,0.004
DustTrak,2013-07-11 22:27:15,0.004
DustTrak,2013-07-11 22:27:20,0.004
DustTrak,2013-07-11 22:27:25,0.004
DustTrak,2013-07-11 22:27:30,0.004
DustTrak,2013-07-11 22:27:35,0.004
DustTrak,2013-07-11 22:27:40,0.004
DustTrak,2013-07-11 22:27:45,0.004
DustTrak,2013-07-11 22:27:50,0.004
DustTrak,2013-07-11 22:27:55,0.004
DustTrak,2013-07-11 22:28:00,0.004
DustTrak,2013-07-11 22:28:05,0.004
DustTrak,2013-07-11 22:28:10,0.004
DustTrak,2013-07-11 22:28:15,0.004
DustTrak,2013-07-11 22:28:20,0.004
DustTrak,2013-07-11 22:28:25,0.004
DustTrak,2013-07-11 22:28:30,0.004
DustTrak,2013-07-11 22:28:35,0.004
DustTrak,2013-07-11 22:28:40,0.004
DustTrak,2013-07-11 22:28:45,0.004
DustTrak,2013-07-11 22:28:50,0.004
DustTrak,2013-07-11 22:28:55,0.004
DustTrak,2013-07-11 22:29:00,0.004
DustTrak,2013-07-11 22:29:05,0.004
DustTrak,2013-07-11 22:29:10,0.004
DustTrak,2013-07-11 22:29:15,0.005
DustTrak,2013-07-11 22:29:20,0.005
DustTrak,2013-07-11 22:29:25,0.005
DustTrak,2013-07-11 22:29:30,0.005
DustTrak,2013-07-11 22:29:35,0.005
DustTrak,2013-07-11 22:29:40,0.005
DustTrak,2013-07-11 22:29:45,0.005
DustTrak,2013-07-11 22:29:50,0.005
DustTrak,2013-07-11 22:29:55,0.005
