'2013-07-10 19:43:47,-3.860e-06  7.103e-04 1003 296 99 00'
'2013-07-10 19:43:48,-3.859e-06  7.103e-04 1003 296 99 00'
'2013-07-10 19:43:49,-3.858e-06  7.103e-04 1003 296 99 00'
'2013-07-10 19:43:50,-3.857e-06  7.103e-04 1003 296 99 00'
'2013-07-10 19:43:51,-3.856e-06  7.103e-04 1003 296 99 00'
'2013-07-10 19:43:52,-3.854e-06  7.103e-04 1003 296 99 00'
'2013-07-10 19:43:53,-3.854e-06  7.103e-04 1003 296 99 00'
'2013-07-10 19:43:54,-3.854e-06  7.103e-04 1003 296 99 00'
'2013-07-10 19:43:55,-3.854e-06  7.104e-04 1003 296 99 00'
'2013-07-10 19:43:56,-3.854e-06  7.104e-04 1003 296 99 00'
'2013-07-10 19:43:57,-3.854e-06  7.104e-04 1003 296 99 00'
'2013-07-10 19:43:58,-3.854e-06  7.104e-04 1003 296 99 00'
'2013-07-10 19:43:59,-3.854e-06  7.104e-04 1003 296 99 00'
'2013-07-10 19:44:00,-3.854e-06  7.104e-04 1003 296 99 00'
'2013-07-10 19:44:01,-3.854e-06  7.104e-04 1003 296 99 00'
'2013-07-10 19:44:02,-3.854e-06  7.105e-04 1003 296 99 00'
'2013-07-10 19:44:03,-3.854e-06  7.105e-04 1003 296 99 00'
'2013-07-10 19:44:04,-3.854e-06  7.105e-04 1003 296 99 00'
'2013-07-10 19:44:05,-3.855e-06  7.105e-04 1003 296 99 00'
'2013-07-10 19:44:06,-3.856e-06  7.105e-04 1003 296 99 00'
