Instr,cpctime,Record,Mode,Flags,CN,ST,LT,CNT,PM,RP
CPC,2013-07-11 20:47:59,2013/7/11,20:50:34,0,347,10,9.998,6949,1008,119
CPC,2013-07-11 20:48:09,2013/7/11,20:50:44,0,339,10,9.997,6795,1010,120
CPC,2013-07-11 20:48:19,2013/7/11,20:50:54,0,350,10,9.999,7018,1008,120
CPC,2013-07-11 20:48:29,2013/7/11,20:51:4,0,337,10,9.999,6748,1008,120
CPC,2013-07-11 20:48:39,2013/7/11,20:51:14,0,342,10,9.998,6851,1000,120
CPC,2013-07-11 20:48:49,2013/7/11,20:51:24,0,335,10,9.998,6704,1007,120
CPC,2013-07-11 20:48:59,2013/7/11,20:51:34,0,344,10,9.998,6896,988,119
CPC,2013-07-11 20:49:09,2013/7/11,20:51:44,0,347,10,9.999,6951,1009,119
