Instr,Time,mg/m3
DustTrak,2013-07-11 23:08:15,0.013
DustTrak,2013-07-11 23:08:20,0.013
DustTrak,2013-07-11 23:08:25,0.013
DustTrak,2013-07-11 23:08:30,0.013
DustTrak,2013-07-11 23:08:35,0.013
DustTrak,2013-07-11 23:08:40,0.013
DustTrak,2013-07-11 23:08:45,0.013
DustTrak,2013-07-11 23:08:50,0.013
DustTrak,2013-07-11 23:08:55,0.013
DustTrak,2013-07-11 23:09:00,0.013
DustTrak,2013-07-11 23:09:05,0.013
DustTrak,2013-07-11 23:09:10,0.013
DustTrak,2013-07-11 23:09:15,0.011
DustTrak,2013-07-11 23:09:20,0.011
DustTrak,2013-07-11 23:09:25,0.011
DustTrak,2013-07-11 23:09:30,0.011
DustTrak,2013-07-11 23:09:35,0.011
DustTrak,2013-07-11 23:09:40,0.011
DustTrak,2013-07-11 23:09:45,0.011
DustTrak,2013-07-11 23:09:50,0.011
DustTrak,2013-07-11 23:09:55,0.011
DustTrak,2013-07-11 23:10:00,0.011
DustTrak,2013-07-11 23:10:05,0.011
DustTrak,2013-07-11 23:10:10,0.011
DustTrak,2013-07-11 23:10:15,0.011
DustTrak,2013-07-11 23:10:20,0.011
DustTrak,2013-07-11 23:10:25,0.011
DustTrak,2013-07-11 23:10:30,0.011
DustTrak,2013-07-11 23:10:35,0.011
DustTrak,2013-07-11 23:10:40,0.011
DustTrak,2013-07-11 23:10:45,0.011
DustTrak,2013-07-11 23:10:50,0.011
DustTrak,2013-07-11 23:10:55,0.011
DustTrak,2013-07-11 23:11:00,0.011
DustTrak,2013-07-11 23:11:05,0.011
DustTrak,2013-07-11 23:11:10,0.011
DustTrak,2013-07-11 23:11:15,0.010
DustTrak,2013-07-11 23:11:20,0.010
DustTrak,2013-07-11 23:11:25,0.010
DustTrak,2013-07-11 23:11:30,0.010
DustTrak,2013-07-11 23:11:35,0.010
DustTrak,2013-07-11 23:11:40,0.010
DustTrak,2013-07-11 23:11:45,0.010
DustTrak,2013-07-11 23:11:50,0.010
DustTrak,2013-07-11 23:11:55,0.010
DustTrak,2013-07-11 23:12:00,0.010
DustTrak,2013-07-11 23:12:05,0.010
DustTrak,2013-07-11 23:12:10,0.010
DustTrak,2013-07-11 23:12:15,0.010
DustTrak,2013-07-11 23:12:20,0.010
DustTrak,2013-07-11 23:12:25,0.010
DustTrak,2013-07-11 23:12:30,0.010
DustTrak,2013-07-11 23:12:35,0.010
DustTrak,2013-07-11 23:12:40,0.010
DustTrak,2013-07-11 23:12:45,0.010
DustTrak,2013-07-11 23:12:50,0.010
DustTrak,2013-07-11 23:12:55,0.010
DustTrak,2013-07-11 23:13:00,0.010
DustTrak,2013-07-11 23:13:05,0.010
DustTrak,2013-07-11 23:13:10,0.010
DustTrak,2013-07-11 23:13:15,0.009
DustTrak,2013-07-11 23:13:20,0.009
DustTrak,2013-07-11 23:13:25,0.009
DustTrak,2013-07-11 23:13:30,0.009
DustTrak,2013-07-11 23:13:35,0.009
DustTrak,2013-07-11 23:13:40,0.009
DustTrak,2013-07-11 23:13:45,0.009
DustTrak,2013-07-11 23:13:50,0.009
DustTrak,2013-07-11 23:13:55,0.009
DustTrak,2013-07-11 23:14:00,0.009
DustTrak,2013-07-11 23:14:05,0.009
DustTrak,2013-07-11 23:14:10,0.009
DustTrak,2013-07-11 23:14:15,0.009
DustTrak,2013-07-11 23:14:20,0.009
DustTrak,2013-07-11 23:14:25,0.009
DustTrak,2013-07-11 23:14:30,0.009
DustTrak,2013-07-11 23:14:35,0.009
DustTrak,2013-07-11 23:14:40,0.009
DustTrak,2013-07-11 23:14:45,0.009
DustTrak,2013-07-11 23:14:50,0.009
DustTrak,2013-07-11 23:14:55,0.009
DustTrak,2013-07-11 23:15:00,0.009
DustTrak,2013-07-11 23:15:05,0.009
