Instr,Time,MetOne03,MetOne05,MetOne07,MetOne1,MetOne2,MetOne5
MetOne, 2013-07-13 10:26:58, 12090, 1936, 1059, 689, 373, 31
MetOne, 2013-07-13 10:27:58, 11616, 1665, 870, 581, 307, 24
MetOne, 2013-07-13 10:28:58, 12494, 2121, 1240, 857, 487, 40
MetOne, 2013-07-13 10:29:58, 11969, 1642, 855, 564, 301, 22
MetOne, 2013-07-13 10:30:58, 11904, 1662, 903, 615, 349, 27
MetOne, 2013-07-13 10:31:58, 12095, 1729, 930, 646, 349, 31
MetOne, 2013-07-13 10:32:58, 12993, 2311, 1418, 1019, 582, 47
MetOne, 2013-07-13 10:33:58, 13080, 2383, 1485, 1107, 663, 69
MetOne, 2013-07-13 10:34:58, 13509, 2570, 1611, 1194, 717, 68
MetOne, 2013-07-13 10:35:58, 12774, 1616, 862, 590, 321, 32
MetOne, 2013-07-13 10:36:58, 12439, 1282, 549, 328, 160, 7
MetOne, 2013-07-13 10:37:58, 13696, 2702, 1816, 1416, 891, 102
MetOne, 2013-07-13 10:38:58, 12762, 2179, 1359, 1002, 629, 65
MetOne, 2013-07-13 10:39:58, 11615, 1334, 618, 396, 203, 16
MetOne, 2013-07-13 10:40:58, 12072, 1621, 855, 573, 298, 27
MetOne, 2013-07-13 10:41:58, 11755, 1416, 695, 453, 257, 31
MetOne, 2013-07-13 10:42:58, 11692, 1290, 581, 354, 165, 14
MetOne, 2013-07-13 10:43:58, 12627, 1628, 849, 569, 315, 30
MetOne, 2013-07-13 10:44:58, 12166, 1206, 470, 263, 114, 8
MetOne, 2013-07-13 10:45:58, 11859, 1108, 405, 217, 94, 4
MetOne, 2013-07-13 10:46:58, 13362, 2225, 1339, 967, 561, 48
MetOne, 2013-07-13 10:47:58, 14094, 2974, 1897, 1367, 784, 52
MetOne, 2013-07-13 10:48:58, 12771, 1898, 1021, 671, 357, 23
MetOne, 2013-07-13 10:49:58, 11879, 1225, 509, 289, 124, 6
MetOne, 2013-07-13 10:50:58, 12213, 1324, 547, 319, 146, 5
MetOne, 2013-07-13 10:51:58, 12271, 1229, 521, 306, 145, 5
MetOne, 2013-07-13 10:52:58, 13599, 2087, 1126, 756, 380, 19
MetOne, 2013-07-13 10:53:58, 14978, 3027, 1867, 1311, 710, 31
MetOne, 2013-07-13 10:54:58, 13510, 1939, 1031, 693, 380, 22
MetOne, 2013-07-13 10:55:58, 14524, 2754, 1709, 1252, 705, 54
MetOne, 2013-07-13 10:56:58, 13278, 1895, 1051, 733, 402, 38
MetOne, 2013-07-13 10:57:58, 13575, 2429, 1435, 1010, 576, 38
MetOne, 2013-07-13 10:58:58, 12028, 1572, 740, 466, 241, 9
MetOne, 2013-07-13 10:59:58, 12368, 1279, 492, 267, 101, 3
MetOne, 2013-07-13 11:00:58, 12013, 1141, 367, 178, 67, 1
MetOne, 2013-07-13 11:01:58, 11833, 1065, 352, 157, 48, 1
MetOne, 2013-07-13 11:02:58, 11303, 963, 298, 133, 42, 1
MetOne, 2013-07-13 11:03:58, 11204, 1079, 401, 207, 77, 1
MetOne, 2013-07-13 11:04:58, 11598, 1248, 475, 246, 90, 2
MetOne, 2013-07-13 11:05:58, 15107, 3280, 1616, 892, 285, 2
MetOne, 2013-07-13 11:06:58, 12432, 1730, 772, 432, 161, 3
MetOne, 2013-07-13 11:07:58, 11572, 1119, 420, 212, 69, 2
MetOne, 2013-07-13 11:08:58, 11323, 1010, 325, 148, 49, 1
MetOne, 2013-07-13 11:09:58, 11324, 1015, 347, 171, 54, 1
MetOne, 2013-07-13 11:10:58, 11278, 1014, 347, 169, 62, 1
MetOne, 2013-07-13 11:11:58, 11262, 988, 322, 144, 41, 0
MetOne, 2013-07-13 11:12:58, 11078, 929, 308, 145, 45, 1
MetOne, 2013-07-13 11:13:58, 11458, 1201, 445, 224, 78, 2
MetOne, 2013-07-13 11:14:58, 12741, 1916, 1008, 687, 378, 56
MetOne, 2013-07-13 11:15:58, 11733, 1160, 426, 225, 90, 1
MetOne, 2013-07-13 11:16:58, 11340, 1042, 355, 165, 57, 1
MetOne, 2013-07-13 11:17:58, 11107, 950, 306, 131, 42, 1
MetOne, 2013-07-13 11:18:58, 11228, 1084, 381, 191, 72, 2
MetOne, 2013-07-13 11:19:58, 11429, 1179, 456, 244, 87, 0
MetOne, 2013-07-13 11:20:58, 11336, 1193, 435, 204, 66, 1
MetOne, 2013-07-13 11:21:58, 11278, 1158, 445, 221, 86, 2
MetOne, 2013-07-13 11:22:58, 11128, 1051, 356, 164, 58, 1
MetOne, 2013-07-13 11:23:58, 11335, 1205, 482, 254, 98, 2
MetOne, 2013-07-13 11:24:58, 11683, 1405, 559, 281, 99, 3
MetOne, 2013-07-13 11:25:58, 11336, 1232, 483, 234, 82, 2
MetOne, 2013-07-13 11:26:58, 11534, 1474, 633, 322, 108, 2
MetOne, 2013-07-13 11:27:58, 10891, 1076, 388, 188, 60, 2
MetOne, 2013-07-13 11:28:58, 12232, 1955, 982, 598, 265, 3
MetOne, 2013-07-13 11:29:58, 13125, 2564, 1247, 673, 230, 7
MetOne, 2013-07-13 11:30:58, 11122, 1408, 564, 290, 90, 1
MetOne, 2013-07-13 11:31:58, 10458, 1203, 458, 225, 78, 2
MetOne, 2013-07-13 11:32:58, 9965, 1078, 415, 208, 71, 2
MetOne, 2013-07-13 11:33:58, 9790, 999, 369, 174, 54, 0
MetOne, 2013-07-13 11:34:58, 10157, 1144, 473, 250, 104, 6
MetOne, 2013-07-13 11:35:58, 10043, 1045, 377, 190, 62, 0
MetOne, 2013-07-13 11:36:58, 10181, 1010, 342, 150, 45, 0
MetOne, 2013-07-13 11:37:58, 9687, 932, 311, 148, 53, 0
MetOne, 2013-07-13 11:38:58, 9366, 886, 292, 149, 44, 1
MetOne, 2013-07-13 11:39:58, 9391, 907, 296, 135, 47, 1
MetOne, 2013-07-13 11:40:58, 8161, 804, 290, 149, 65, 1
MetOne, 2013-07-13 11:41:58, 8303, 914, 388, 214, 103, 4
MetOne, 2013-07-13 11:42:58, 8588, 985, 383, 213, 85, 1
MetOne, 2013-07-13 11:43:58, 8246, 812, 264, 126, 42, 1
MetOne, 2013-07-13 11:44:58, 8288, 785, 270, 120, 38, 0
MetOne, 2013-07-13 11:45:58, 8103, 767, 260, 123, 35, 0
MetOne, 2013-07-13 11:46:58, 8882, 842, 270, 124, 44, 1
MetOne, 2013-07-13 11:47:58, 8666, 856, 289, 128, 41, 0
MetOne, 2013-07-13 11:48:58, 8361, 853, 287, 129, 34, 1
MetOne, 2013-07-13 11:49:58, 8400, 795, 243, 108, 33, 1
MetOne, 2013-07-13 11:50:58, 8409, 780, 255, 105, 33, 0
MetOne, 2013-07-13 11:51:58, 8235, 761, 266, 119, 40, 1
MetOne, 2013-07-13 11:52:58, 8392, 795, 258, 112, 40, 0
MetOne, 2013-07-13 11:53:58, 7671, 815, 339, 191, 92, 6
MetOne, 2013-07-13 11:54:58, 7684, 829, 313, 142, 49, 1
MetOne, 2013-07-13 11:55:58, 7799, 809, 275, 120, 39, 0
MetOne, 2013-07-13 11:56:58, 7368, 729, 250, 108, 30, 2
MetOne, 2013-07-13 11:57:58, 7109, 676, 222, 96, 32, 0
MetOne, 2013-07-13 11:58:58, 7287, 725, 246, 103, 37, 1
MetOne, 2013-07-13 11:59:58, 7174, 690, 223, 99, 33, 1
MetOne, 2013-07-13 12:00:58, 7256, 695, 240, 116, 43, 1
MetOne, 2013-07-13 12:01:58, 7037, 683, 227, 95, 32, 0
MetOne, 2013-07-13 12:02:58, 7173, 694, 231, 96, 25, 0
MetOne, 2013-07-13 12:03:58, 7538, 822, 336, 180, 88, 3
MetOne, 2013-07-13 12:04:58, 7732, 869, 321, 149, 56, 2
MetOne, 2013-07-13 12:05:58, 7672, 774, 275, 124, 43, 0
MetOne, 2013-07-13 12:06:58, 7497, 751, 249, 101, 36, 0
MetOne, 2013-07-13 12:07:58, 7567, 749, 254, 111, 34, 1
MetOne, 2013-07-13 12:08:58, 7497, 722, 253, 104, 34, 0
MetOne, 2013-07-13 12:09:58, 7512, 747, 250, 104, 34, 1
MetOne, 2013-07-13 12:10:58, 7186, 706, 230, 95, 30, 1
MetOne, 2013-07-13 12:11:58, 6336, 612, 199, 85, 26, 1
MetOne, 2013-07-13 12:12:58, 6618, 665, 232, 99, 35, 0
MetOne, 2013-07-13 12:13:58, 6233, 610, 211, 84, 22, 0
MetOne, 2013-07-13 12:14:58, 5878, 565, 182, 72, 22, 0
MetOne, 2013-07-13 12:15:58, 5407, 552, 178, 76, 23, 0
MetOne, 2013-07-13 12:16:58, 5398, 547, 175, 66, 20, 0
MetOne, 2013-07-13 12:17:58, 5339, 536, 186, 81, 27, 1
MetOne, 2013-07-13 12:18:58, 5339, 546, 185, 79, 22, 0
MetOne, 2013-07-13 12:19:58, 5506, 556, 169, 60, 21, 1
MetOne, 2013-07-13 12:20:58, 5416, 537, 175, 68, 22, 0
MetOne, 2013-07-13 12:21:58, 5587, 562, 187, 81, 25, 0
MetOne, 2013-07-13 12:22:58, 5541, 544, 162, 65, 23, 0
MetOne, 2013-07-13 12:23:58, 5681, 565, 192, 78, 25, 1
MetOne, 2013-07-13 12:24:58, 5557, 592, 203, 93, 25, 0
MetOne, 2013-07-13 12:25:58, 5759, 565, 190, 77, 20, 0
MetOne, 2013-07-13 12:26:58, 5841, 557, 178, 70, 22, 0
MetOne, 2013-07-13 12:27:59, 4550, 445, 136, 54, 18, 0
MetOne, 2013-07-13 12:28:59, 4920, 503, 166, 67, 25, 0
MetOne, 2013-07-13 12:29:59, 5616, 552, 182, 79, 25, 0
MetOne, 2013-07-13 12:30:59, 4440, 428, 127, 50, 15, 0
MetOne, 2013-07-13 12:31:59, 3998, 413, 141, 57, 18, 1
MetOne, 2013-07-13 12:32:59, 3950, 424, 143, 54, 17, 0
MetOne, 2013-07-13 12:33:59, 4043, 433, 140, 58, 23, 0
MetOne, 2013-07-13 12:34:59, 3981, 455, 156, 73, 30, 3
MetOne, 2013-07-13 12:35:59, 3846, 389, 131, 55, 17, 0
MetOne, 2013-07-13 12:36:59, 3918, 408, 138, 55, 21, 0
MetOne, 2013-07-13 12:37:59, 3926, 497, 199, 107, 42, 0
MetOne, 2013-07-13 12:38:59, 3632, 382, 131, 56, 18, 0
MetOne, 2013-07-13 12:39:59, 3655, 383, 119, 45, 14, 0
MetOne, 2013-07-13 12:40:59, 3892, 415, 140, 56, 19, 0
MetOne, 2013-07-13 12:41:59, 3981, 429, 136, 54, 14, 0
MetOne, 2013-07-13 12:42:59, 3861, 401, 123, 42, 11, 0
MetOne, 2013-07-13 12:43:59, 4000, 416, 135, 48, 15, 0
MetOne, 2013-07-13 12:44:59, 4087, 431, 121, 48, 17, 0
MetOne, 2013-07-13 12:45:59, 4170, 444, 145, 57, 19, 0
MetOne, 2013-07-13 12:46:59, 4234, 473, 164, 68, 19, 0
MetOne, 2013-07-13 12:47:59, 3958, 414, 151, 62, 21, 0
MetOne, 2013-07-13 12:48:59, 4119, 470, 166, 65, 21, 0
MetOne, 2013-07-13 12:49:59, 4023, 470, 170, 77, 27, 1
MetOne, 2013-07-13 12:50:59, 3747, 445, 155, 66, 22, 0
MetOne, 2013-07-13 12:51:59, 3228, 346, 111, 42, 12, 0
MetOne, 2013-07-13 12:52:59, 3677, 457, 192, 96, 42, 0
MetOne, 2013-07-13 12:53:59, 3647, 583, 283, 171, 84, 1
MetOne, 2013-07-13 12:54:59, 3470, 447, 175, 77, 22, 0
MetOne, 2013-07-13 12:55:59, 3515, 385, 125, 50, 14, 0
MetOne, 2013-07-13 12:56:59, 3540, 403, 148, 66, 22, 1
MetOne, 2013-07-13 12:57:59, 3526, 400, 143, 57, 17, 0
MetOne, 2013-07-13 12:58:59, 3676, 424, 156, 64, 18, 0
MetOne, 2013-07-13 12:59:59, 3607, 409, 135, 48, 16, 0
MetOne, 2013-07-13 13:00:59, 3659, 464, 177, 89, 34, 1
MetOne, 2013-07-13 13:01:59, 4473, 828, 414, 254, 113, 3
MetOne, 2013-07-13 13:02:59, 4316, 575, 225, 101, 30, 0
MetOne, 2013-07-13 13:03:59, 4276, 602, 261, 135, 50, 0
MetOne, 2013-07-13 13:04:59, 4145, 529, 202, 95, 28, 0
MetOne, 2013-07-13 13:05:59, 4127, 675, 314, 182, 83, 1
MetOne, 2013-07-13 13:06:59, 3827, 509, 197, 79, 22, 0
MetOne, 2013-07-13 13:07:59, 3413, 572, 271, 144, 66, 1
MetOne, 2013-07-13 13:08:59, 2937, 450, 179, 87, 29, 1
MetOne, 2013-07-13 13:09:59, 2802, 385, 140, 62, 15, 0
MetOne, 2013-07-13 13:10:59, 3054, 389, 138, 58, 21, 1
MetOne, 2013-07-13 13:11:59, 2947, 442, 196, 111, 43, 0
MetOne, 2013-07-13 13:12:59, 3189, 662, 347, 206, 101, 1
MetOne, 2013-07-13 13:13:59, 3062, 557, 222, 100, 29, 0
MetOne, 2013-07-13 13:14:59, 3322, 537, 213, 107, 30, 1
MetOne, 2013-07-13 13:15:59, 3494, 519, 202, 98, 34, 0
MetOne, 2013-07-13 13:16:59, 24613, 16042, 10488, 6845, 3048, 45
MetOne, 2013-07-13 13:17:59, 5145, 1612, 822, 439, 146, 2
MetOne, 2013-07-13 13:18:59, 3636, 778, 340, 159, 45, 0
MetOne, 2013-07-13 13:19:59, 3411, 592, 250, 120, 27, 0
MetOne, 2013-07-13 13:20:59, 3536, 496, 187, 82, 28, 0
MetOne, 2013-07-13 13:21:59, 3351, 452, 161, 66, 14, 0
MetOne, 2013-07-13 13:22:59, 3160, 390, 143, 56, 16, 0
MetOne, 2013-07-13 13:23:59, 3138, 398, 140, 59, 19, 0
MetOne, 2013-07-13 13:24:59, 3382, 421, 151, 66, 22, 0
MetOne, 2013-07-13 13:25:59, 3467, 428, 156, 74, 26, 0
MetOne, 2013-07-13 13:26:59, 3582, 420, 143, 56, 14, 0
MetOne, 2013-07-13 13:27:59, 3680, 427, 137, 51, 16, 0
MetOne, 2013-07-13 13:28:59, 3143, 498, 241, 143, 69, 2
MetOne, 2013-07-13 13:29:59, 2897, 463, 207, 111, 44, 1
MetOne, 2013-07-13 13:30:59, 2762, 441, 174, 85, 27, 0
MetOne, 2013-07-13 13:31:59, 2929, 455, 189, 99, 34, 2
MetOne, 2013-07-13 13:32:59, 2938, 436, 165, 78, 25, 0
MetOne, 2013-07-13 13:33:59, 3075, 460, 194, 98, 43, 1
MetOne, 2013-07-13 13:34:59, 3392, 562, 280, 165, 75, 4
MetOne, 2013-07-13 13:35:59, 3250, 521, 233, 128, 62, 1
MetOne, 2013-07-13 13:36:59, 3143, 486, 204, 106, 45, 1
MetOne, 2013-07-13 13:37:59, 3571, 830, 498, 335, 170, 8
MetOne, 2013-07-13 13:38:59, 3214, 537, 214, 102, 26, 0
MetOne, 2013-07-13 13:39:59, 3164, 546, 228, 114, 32, 0
MetOne, 2013-07-13 13:40:59, 3211, 626, 277, 143, 51, 2
MetOne, 2013-07-13 13:41:59, 3541, 915, 511, 306, 139, 3
MetOne, 2013-07-13 13:42:59, 3480, 762, 395, 237, 108, 3
MetOne, 2013-07-13 13:43:59, 3471, 805, 479, 314, 158, 6
MetOne, 2013-07-13 13:44:59, 2991, 368, 148, 72, 24, 0
MetOne, 2013-07-13 13:45:59, 3205, 419, 160, 75, 28, 0
MetOne, 2013-07-13 13:46:59, 5048, 1779, 1248, 881, 478, 21
MetOne, 2013-07-13 13:47:59, 3785, 760, 415, 250, 111, 2
MetOne, 2013-07-13 13:48:59, 3519, 462, 202, 109, 40, 1
MetOne, 2013-07-13 13:49:59, 3577, 438, 173, 85, 34, 0
MetOne, 2013-07-13 13:50:59, 3500, 398, 162, 71, 26, 1
MetOne, 2013-07-13 13:51:59, 3980, 447, 188, 96, 45, 1
MetOne, 2013-07-13 13:52:59, 3741, 501, 230, 131, 61, 1
MetOne, 2013-07-13 13:53:59, 3692, 420, 164, 89, 33, 1
MetOne, 2013-07-13 13:54:59, 3766, 392, 135, 54, 18, 0
MetOne, 2013-07-13 13:55:59, 3781, 421, 154, 70, 24, 0
MetOne, 2013-07-13 13:56:59, 3628, 413, 156, 72, 32, 1
MetOne, 2013-07-13 13:57:59, 3463, 373, 131, 53, 18, 0
MetOne, 2013-07-13 13:58:59, 3622, 362, 127, 56, 18, 1
MetOne, 2013-07-13 13:59:59, 3676, 406, 160, 75, 21, 0
MetOne, 2013-07-13 14:00:59, 3663, 425, 178, 95, 43, 2
MetOne, 2013-07-13 14:01:59, 4428, 935, 585, 420, 229, 11
MetOne, 2013-07-13 14:02:59, 4287, 853, 529, 394, 223, 10
MetOne, 2013-07-13 14:03:59, 3889, 567, 285, 180, 95, 3
MetOne, 2013-07-13 14:04:59, 4194, 831, 509, 366, 202, 9
MetOne, 2013-07-13 14:05:59, 3627, 406, 171, 101, 47, 3
MetOne, 2013-07-13 14:06:59, 3670, 484, 208, 115, 48, 1
MetOne, 2013-07-13 14:07:59, 3709, 416, 164, 84, 38, 0
MetOne, 2013-07-13 14:08:59, 4109, 551, 289, 174, 83, 4
MetOne, 2013-07-13 14:09:59, 4123, 551, 273, 164, 83, 3
MetOne, 2013-07-13 14:10:59, 4308, 629, 338, 220, 120, 3
MetOne, 2013-07-13 14:11:59, 4657, 778, 463, 334, 175, 7
MetOne, 2013-07-13 14:12:59, 4077, 481, 220, 119, 53, 2
MetOne, 2013-07-13 14:13:59, 4038, 472, 210, 114, 52, 1
MetOne, 2013-07-13 14:14:59, 3989, 439, 170, 85, 32, 0
MetOne, 2013-07-13 14:15:59, 4300, 441, 179, 87, 31, 1
MetOne, 2013-07-13 14:16:59, 4204, 452, 189, 93, 37, 0
MetOne, 2013-07-13 14:17:59, 3926, 417, 167, 79, 28, 0
MetOne, 2013-07-13 14:18:59, 3872, 403, 162, 74, 27, 1
MetOne, 2013-07-13 14:19:59, 3911, 450, 190, 95, 42, 0
MetOne, 2013-07-13 14:20:59, 4743, 1004, 629, 434, 235, 9
MetOne, 2013-07-13 14:21:59, 9058, 3660, 2281, 1528, 721, 24
MetOne, 2013-07-13 14:22:59, 14770, 7101, 4231, 2722, 1172, 33
MetOne, 2013-07-13 14:23:59, 9306, 3580, 1949, 1111, 362, 6
MetOne, 2013-07-13 14:24:59, 7116, 2273, 1219, 702, 257, 7
MetOne, 2013-07-13 14:25:59, 5726, 1444, 714, 400, 133, 1
MetOne, 2013-07-13 14:26:59, 4144, 630, 283, 157, 54, 1
MetOne, 2013-07-13 14:27:59, 4475, 762, 383, 231, 109, 5
MetOne, 2013-07-13 14:28:59, 4739, 831, 373, 206, 67, 0
MetOne, 2013-07-13 14:29:59, 4120, 535, 216, 107, 38, 0
MetOne, 2013-07-13 14:30:59, 5211, 1189, 596, 350, 135, 3
MetOne, 2013-07-13 14:31:59, 4347, 620, 268, 139, 51, 0
MetOne, 2013-07-13 14:32:59, 4108, 463, 200, 106, 39, 0
MetOne, 2013-07-13 14:33:59, 5404, 1422, 845, 546, 246, 7
MetOne, 2013-07-13 14:34:59, 18172, 9256, 5552, 3511, 1461, 31
MetOne, 2013-07-13 14:35:59, 7359, 2385, 1190, 635, 184, 2
MetOne, 2013-07-13 14:36:59, 4681, 828, 387, 196, 64, 0
MetOne, 2013-07-13 14:37:59, 4339, 687, 307, 163, 61, 3
MetOne, 2013-07-13 14:38:59, 4062, 636, 275, 139, 44, 0
MetOne, 2013-07-13 14:39:59, 7371, 2660, 1611, 1059, 505, 18
MetOne, 2013-07-13 14:40:59, 5163, 1059, 501, 269, 79, 1
